RecordCategory,RecordSubCategory,StartDate,FinishDate
Feeding,Left Breast,Feb-15-2022 01:58,Feb-15-2022 02:19
Feeding,Right Breast,Feb-15-2022 02:19,Feb-15-2022 02:32
Feeding,Left Breast,Feb-15-2022 04:21,Feb-15-2022 04:34
Feeding,Right Breast,Feb-15-2022 04:35,Feb-15-2022 04:47
Feeding,Right Breast,Feb-15-2022 04:49,Feb-15-2022 05:25
Feeding,Right Breast,Feb-15-2022 06:54,Feb-15-2022 07:12
Feeding,Left Breast,Feb-15-2022 07:12,Feb-15-2022 07:40
Feeding,Left Breast,Feb-15-2022 07:50,Feb-15-2022 07:55
Feeding,Right Breast,Feb-15-2022 07:58,Feb-15-2022 08:06
Feeding,Left Breast,Feb-15-2022 09:48,Feb-15-2022 10:11
Feeding,Right Breast,Feb-15-2022 10:13,Feb-15-2022 10:24
Feeding,Left Breast,Feb-15-2022 10:27,Feb-15-2022 10:59
Feeding,Right Breast,Feb-15-2022 12:47,Feb-15-2022 13:07
Feeding,Left Breast,Feb-15-2022 13:09,Feb-15-2022 13:32
Feeding,Right Breast,Feb-15-2022 13:36,Feb-15-2022 13:54
Feeding,Left Breast,Feb-15-2022 14:47,Feb-15-2022 15:31
Feeding,Right Breast,Feb-15-2022 15:35,Feb-15-2022 15:40
Feeding,Right Breast,Feb-15-2022 16:04,Feb-15-2022 16:14
Feeding,Left Breast,Feb-15-2022 16:17,Feb-15-2022 16:40
Feeding,Right Breast,Feb-15-2022 17:09,Feb-15-2022 17:17
Feeding,Right Breast,Feb-15-2022 17:19,Feb-15-2022 17:32
Feeding,Left Breast,Feb-15-2022 17:57,Feb-15-2022 18:07
Feeding,Right Breast,Feb-15-2022 18:08,Feb-15-2022 18:20
Feeding,Left Breast,Feb-15-2022 18:20,Feb-15-2022 18:33
Feeding,Right Breast,Feb-15-2022 18:45,Feb-15-2022 19:04
Feeding,Left Breast,Feb-15-2022 21:05,Feb-15-2022 21:33
Feeding,Right Breast,Feb-15-2022 21:35,Feb-15-2022 22:01
Feeding,Left Breast,Feb-16-2022 01:01,Feb-16-2022 01:31
Feeding,Right Breast,Feb-16-2022 01:31,Feb-16-2022 01:44
Feeding,Right Breast,Feb-16-2022 03:25,Feb-16-2022 04:12
Feeding,Left Breast,Feb-16-2022 04:32,Feb-16-2022 05:03
Feeding,Right Breast,Feb-16-2022 06:07,Feb-16-2022 06:29
Feeding,Left Breast,Feb-16-2022 06:30,Feb-16-2022 06:39
Feeding,Right Breast,Feb-16-2022 07:28,Feb-16-2022 07:44
Feeding,Left Breast,Feb-16-2022 08:20,Feb-16-2022 08:30
Feeding,Right Breast,Feb-16-2022 09:31,Feb-16-2022 09:48
Feeding,Left Breast,Feb-16-2022 09:48,Feb-16-2022 10:18
Feeding,Right Breast,Feb-16-2022 10:19,Feb-16-2022 10:28
Feeding,Left Breast,Feb-16-2022 12:10,Feb-16-2022 12:37
Feeding,Right Breast,Feb-16-2022 12:42,Feb-16-2022 12:59
Feeding,Left Breast,Feb-16-2022 16:15,Feb-16-2022 17:08
Feeding,Right Breast,Feb-16-2022 17:13,Feb-16-2022 17:32
Feeding,Right Breast,Feb-16-2022 18:07,Feb-16-2022 18:35
Feeding,Left Breast,Feb-16-2022 18:38,Feb-16-2022 18:56
Feeding,Right Breast,Feb-16-2022 20:20,Feb-16-2022 20:53
Feeding,Left Breast,Feb-16-2022 20:56,Feb-16-2022 21:14
Feeding,Left Breast,Feb-16-2022 21:21,Feb-16-2022 21:30
Feeding,Right Breast,Feb-16-2022 21:33,Feb-16-2022 21:38
Feeding,Left Breast,Feb-17-2022 00:39,Feb-17-2022 01:08
Feeding,Right Breast,Feb-17-2022 01:10,Feb-17-2022 01:21
Feeding,Right Breast,Feb-17-2022 04:17,Feb-17-2022 04:49
Feeding,Left Breast,Feb-17-2022 04:55,Feb-17-2022 05:10
Feeding,Right Breast,Feb-17-2022 06:04,Feb-17-2022 06:13
Feeding,Left Breast,Feb-17-2022 07:37,Feb-17-2022 08:34
Feeding,Right Breast,Feb-17-2022 10:10,Feb-17-2022 10:30
Feeding,Left Breast,Feb-17-2022 10:32,Feb-17-2022 11:17
Feeding,Right Breast,Feb-17-2022 14:19,Feb-17-2022 14:40
Feeding,Left Breast,Feb-17-2022 16:12,Feb-17-2022 16:34
Feeding,Bottle,Feb-17-2022 19:50,Feb-17-2022 19:59
Feeding,Right Breast,Feb-17-2022 21:40,Feb-17-2022 22:20
Feeding,Left Breast,Feb-18-2022 00:29,Feb-18-2022 00:47
